date,participant_gender,participant_type,incident_id,participant_age,participant_age_group,participant_status
2013-01-01,Female,Subject-Suspect,461105,0,1,1
2013-01-01,Male,Subject-Suspect,478855,2,2,2
2013-01-01,Male,Victim,460726,1,1,1
2013-01-01,Male,Victim,461105,1,3,3
2013-01-01,Male,Victim,478855,3,3,3
2013-01-05,Female,Victim,478925,1,1,1
2013-01-05,Male,Subject-Suspect,478925,1,1,1
2013-01-05,Male,Victim,478925,2,2,2
2013-01-07,Female,Subject-Suspect,478959,1,1,1
2013-01-07,Female,Victim,478948,4,4,4
2013-01-07,Female,Victim,478959,1,1,1
2013-01-07,Male,Subject-Suspect,478948,0,2,2
2013-01-07,Male,Victim,478959,2,2,2
2013-01-19,Female,Victim,479363,3,3,3
2013-01-19,Male,Subject-Suspect,479363,1,1,1
2013-01-19,Male,Victim,479363,2,2,2
2013-01-21,Male,Subject-Suspect,479389,0,1,1
2013-01-21,Male,Victim,479374,0,0,5
2013-01-21,Male,Victim,479389,0,3,4
2013-01-23,Male,Victim,491674,1,1,4
2013-01-23,Male,Victim,492151,1,1,1
2013-01-25,Male,Victim,479413,1,1,1
2013-01-26,Female,Victim,479554,0,2,2
2013-01-26,Male,Subject-Suspect,479460,1,1,1
2013-01-26,Male,Subject-Suspect,479554,0,1,1
2013-01-26,Male,Subject-Suspect,479561,1,1,1
2013-01-26,Male,Victim,479460,4,4,4
2013-01-26,Male,Victim,479554,0,3,3
2013-01-26,Male,Victim,479561,1,4,4
2013-02-02,Female,Subject-Suspect,479573,1,1,1
2013-02-02,Female,Victim,479573,0,4,5
2013-02-03,Female,Victim,479580,0,1,1
2013-02-03,Male,Subject-Suspect,479580,3,3,3
2013-02-03,Male,Victim,479580,1,2,2
2013-02-07,Male,Victim,479592,4,4,4
2013-02-09,Female,Victim,479603,2,2,2
2013-02-09,Male,Subject-Suspect,479603,3,3,3
2013-02-09,Male,Victim,479603,2,2,2
2013-02-11,Female,Victim,480311,0,2,2
2013-02-11,Female,Victim,480327,1,2,2
2013-02-11,Male,Subject-Suspect,480327,1,1,1
2013-02-11,Male,Victim,480311,1,3,3
2013-02-11,Male,Victim,480327,0,2,2
2013-02-12,Female,Victim,480344,0,1,1
2013-02-12,Male,Subject-Suspect,480344,1,2,2
2013-02-12,Male,Victim,480344,3,3,3
2013-02-19,Female,Victim,480358,1,1,1
2013-02-19,Male,Subject-Suspect,480358,1,1,1
2013-02-19,Male,Victim,480358,2,2,2
2013-02-21,Female,Victim,480383,1,1,1
2013-02-21,Male,Subject-Suspect,480383,1,1,1
2013-02-21,Male,Victim,480383,3,3,3
2013-02-22,Female,Victim,480401,0,0,1
2013-02-22,Male,Subject-Suspect,480401,0,1,1
2013-02-22,Male,Victim,480401,0,1,3
2013-02-23,Male,Victim,480407,4,4,4
2013-02-24,Female,Victim,480443,0,2,2
2013-02-24,Male,Subject-Suspect,480443,1,1,1
2013-02-24,Male,Victim,480443,0,5,6
2013-03-02,Male,Subject-Suspect,481186,2,2,2
2013-03-02,Male,Victim,481186,4,4,4
2013-03-03,Female,Victim,481198,0,1,1
2013-03-03,Female,Victim,481208,2,2,2
2013-03-03,Male,Subject-Suspect,481198,2,2,2
2013-03-03,Male,Victim,481198,2,3,3
2013-03-03,Male,Victim,481208,2,2,2
2013-03-04,Male,Subject-Suspect,481213,2,2,2
2013-03-04,Male,Victim,481213,1,1,1
2013-03-05,Male,Victim,481220,4,4,4
2013-03-07,Female,Victim,481229,1,1,1
2013-03-07,Male,Subject-Suspect,481229,1,1,1
2013-03-07,Male,Victim,481229,3,3,3
2013-03-10,Female,Victim,481237,1,1,1
2013-03-10,Male,Victim,481237,2,2,2
2013-03-11,Female,Victim,482771,0,6,6
2013-03-11,Male,Subject-Suspect,482771,3,4,4
2013-03-11,Male,Victim,482771,1,7,7
2013-03-13,Male,Subject-Suspect,482801,4,4,4
2013-03-13,Male,Subject-Suspect,482856,1,1,1
2013-03-13,Male,Victim,482801,2,2,2
2013-03-13,Male,Victim,482856,6,5,6
2013-03-14,Female,Victim,482838,0,1,1
2013-03-14,Male,Victim,482838,0,3,3
2013-03-17,Female,Victim,482934,1,2,2
2013-03-17,Male,Victim,482934,1,1,1
2013-03-21,Female,Victim,483737,1,1,1
2013-03-21,Female,Victim,483765,0,2,2
2013-03-21,Male,Subject-Suspect,483737,0,3,3
2013-03-21,Male,Subject-Suspect,483765,2,2,2
2013-03-21,Male,Victim,483737,6,6,6
2013-03-21,Male,Victim,483765,1,2,2
2013-03-22,Female,Victim,483788,1,1,1
2013-03-22,Male,Subject-Suspect,483788,1,1,1
2013-03-22,Male,Victim,483788,2,3,3
2013-03-30,Female,Victim,483835,1,1,1
2013-03-30,Male,Subject-Suspect,483835,2,2,2
2013-03-30,Male,Victim,483835,4,4,4
2013-03-31,Male,Subject-Suspect,483817,1,1,1
2013-03-31,Male,Victim,483817,3,3,4
2013-04-06,Male,Subject-Suspect,483861,1,1,1
2013-04-06,Male,Victim,483861,1,1,1
2013-04-07,Female,Victim,483872,2,2,2
2013-04-07,Male,Subject-Suspect,483872,1,1,1
2013-04-07,Male,Victim,483872,2,2,2
2013-04-07,Male,Victim,483878,1,1,4
2013-04-09,Female,Victim,484268,1,1,1
2013-04-09,Male,Subject-Suspect,484268,0,1,1
2013-04-09,Male,Victim,484268,3,3,3
2013-04-10,Female,Victim,484279,0,1,1
2013-04-10,Male,Victim,484279,0,3,3
2013-04-14,Male,Subject-Suspect,484287,1,1,1
2013-04-14,Male,Subject-Suspect,484307,1,1,1
2013-04-14,Male,Victim,484287,4,5,5
2013-04-14,Male,Victim,484307,6,6,6
2013-04-18,Female,Victim,484317,3,3,3
2013-04-18,Male,Subject-Suspect,484317,1,1,1
2013-04-18,Male,Victim,484317,1,1,1
2013-04-21,Female,Victim,484333,1,1,1
2013-04-21,Male,Subject-Suspect,484333,1,1,1
2013-04-21,Male,Victim,484333,3,3,3
2013-04-22,Female,Victim,485746,4,4,4
2013-04-22,Male,Subject-Suspect,484351,0,1,1
2013-04-22,Male,Subject-Suspect,485746,4,5,5
2013-04-22,Male,Victim,484351,4,4,4
2013-04-22,Male,Victim,485746,1,1,1
2013-04-24,Female,Victim,485811,2,2,3
2013-04-24,Male,Subject-Suspect,485811,0,0,1
2013-04-24,Male,Victim,485811,3,3,3
2013-04-25,Male,Victim,489185,4,4,4
2013-04-27,Female,Victim,485821,0,1,1
2013-04-27,Male,Subject-Suspect,485821,1,1,1
2013-04-27,Male,Victim,485821,1,3,3
2013-04-28,Male,Subject-Suspect,485885,0,3,3
2013-04-28,Male,Subject-Suspect,485979,2,2,2
2013-04-28,Male,Victim,485874,0,5,5
2013-04-28,Male,Victim,485885,3,3,3
2013-04-28,Male,Victim,485979,4,4,4
2013-05-02,Female,Victim,486005,3,3,3
2013-05-02,Male,Subject-Suspect,486005,0,1,1
2013-05-02,Male,Subject-Suspect,984353,1,1,1
2013-05-02,Male,Victim,486005,2,2,2
2013-05-02,Male,Victim,984353,1,1,1
2013-05-04,Female,Victim,486027,0,2,2
2013-05-04,Male,Victim,486027,0,2,2
2013-05-05,Female,Victim,486056,0,1,1
2013-05-05,Male,Victim,486056,0,4,4
2013-05-06,Male,Victim,486068,0,4,4
2013-05-10,Male,Subject-Suspect,486109,0,2,2
2013-05-10,Male,Victim,486109,0,4,4
2013-05-11,Female,Victim,486142,1,1,1
2013-05-11,Male,Subject-Suspect,486121,0,1,1
2013-05-11,Male,Subject-Suspect,486142,1,1,1
2013-05-11,Male,Victim,486121,4,4,4
2013-05-11,Male,Victim,486142,3,3,3
2013-05-11,Male,Victim,486244,0,4,4
2013-05-12,Female,Victim,486153,0,1,1
2013-05-12,Female,Victim,486209,1,8,8
2013-05-12,Male,Subject-Suspect,486153,1,1,1
2013-05-12,Male,Subject-Suspect,486209,2,2,3
2013-05-12,Male,Victim,486153,0,3,3
2013-05-12,Male,Victim,486209,1,11,11
2013-05-13,Male,Subject-Suspect,486316,0,1,1
2013-05-13,Male,Victim,486316,0,4,4
2013-05-14,Male,Subject-Suspect,1007785,1,1,1
2013-05-14,Male,Victim,1007785,0,0,1
